geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
36047030500,Census Tract 305, Kings County, New York,6042,72439,468600,3029,2483,2339,20,219,0,0,70,911
36047030600,Census Tract 306, Kings County, New York,1955,46055,626600,359,844,7,0,862,0,0,30,212
36047030700,Census Tract 307, Kings County, New York,4427,20755,498600,511,129,3360,0,34,0,0,62,842
36047030800,Census Tract 308, Kings County, New York,1903,45750,485000,411,1319,29,0,297,0,0,33,225
36047030900,Census Tract 309, Kings County, New York,2021,33083,517500,228,55,1356,0,384,0,0,0,226
36047031100,Census Tract 311, Kings County, New York,2972,46953,619600,627,301,2146,0,14,0,29,74,408
36047031300,Census Tract 313, Kings County, New York,4657,41527,1001200,1267,487,3585,0,60,0,51,12,462
36047031400,Census Tract 314, Kings County, New York,4761,56556,382500,1143,3464,18,0,984,0,0,0,295
36047031500,Census Tract 315, Kings County, New York,5234,57230,829100,2144,1518,2931,0,141,0,0,287,357
36047031701,Census Tract 317.01, Kings County, New York,3491,52019,1054100,1193,952,2203,9,165,0,0,73,98
36047031702,Census Tract 317.02, Kings County, New York,3733,62672,662200,1069,956,1825,0,152,0,101,143,556
36047031900,Census Tract 319, Kings County, New York,3841,48375,612800,889,1256,2187,0,12,0,0,19,367
36047032100,Census Tract 321, Kings County, New York,6006,42025,644000,1351,775,3964,0,201,0,291,48,727
36047032300,Census Tract 323, Kings County, New York,3823,63882,675000,1033,423,2739,0,82,0,0,151,428
36047032500,Census Tract 325, Kings County, New York,6538,47559,-666666666,1103,441,5363,135,160,0,0,26,413
36047032600,Census Tract 326, Kings County, New York,7167,24205,424100,498,1028,2432,47,1060,0,0,135,2465
36047032700,Census Tract 327, Kings County, New York,2509,44618,803000,704,345,1632,0,42,0,24,20,446
36047032800,Census Tract 328, Kings County, New York,2457,54056,380500,304,334,739,38,893,0,0,25,428
36047032900,Census Tract 329, Kings County, New York,5997,44559,617900,1285,1777,3183,0,67,82,44,47,797
36047033000,Census Tract 330, Kings County, New York,4606,23438,333300,492,747,2305,0,223,0,0,102,1229
36047033100,Census Tract 331, Kings County, New York,4058,37405,927700,735,2386,1478,0,0,0,0,30,164
36047033300,Census Tract 333, Kings County, New York,4736,42972,752200,806,3082,1306,12,0,0,7,115,214
36047033500,Census Tract 335, Kings County, New York,3033,52833,810300,680,1882,790,0,25,0,6,8,322
36047033600,Census Tract 336, Kings County, New York,3940,71806,515300,1474,2940,260,1,113,0,12,91,523
36047033700,Census Tract 337, Kings County, New York,4098,54719,698100,829,1669,1834,18,102,0,0,38,455
36047033900,Census Tract 339, Kings County, New York,4788,36570,701800,845,872,3197,0,199,0,17,138,365
36047034000,Census Tract 340, Kings County, New York,2174,20833,-666666666,392,806,835,0,144,0,0,10,379
36047034100,Census Tract 341, Kings County, New York,2767,50370,585500,643,300,2065,0,0,0,63,66,273
36047034200,Census Tract 342, Kings County, New York,5838,17802,-666666666,877,1828,2031,0,219,0,226,14,1520
36047034300,Census Tract 343, Kings County, New York,4809,24834,815300,704,313,3054,62,239,0,0,59,1082
